id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_investasi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1198543933250,RUPIAH,2007
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,108502571560,RUPIAH,2007
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,28250000000,RUPIAH,2007
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,285286977404,RUPIAH,2007
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0,RUPIAH,2007
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,RUPIAH,2007
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2007
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,RUPIAH,2007
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,495440437011,RUPIAH,2007
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,69699386810,RUPIAH,2007
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,RUPIAH,2007
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,RUPIAH,2007
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,124783444000,RUPIAH,2007
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,443986978000,RUPIAH,2007
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2953389919673,RUPIAH,2007
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,5763549673849,RUPIAH,2007
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,RUPIAH,2007
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2007
19,32,JAWA BARAT,3271,KOTA BOGOR,7730250000,RUPIAH,2007
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,RUPIAH,2007
21,32,JAWA BARAT,3273,KOTA BANDUNG,341560986723,RUPIAH,2007
22,32,JAWA BARAT,3274,KOTA CIREBON,0,RUPIAH,2007
23,32,JAWA BARAT,3275,KOTA BEKASI,83844920185,RUPIAH,2007
24,32,JAWA BARAT,3276,KOTA DEPOK,292829321653,RUPIAH,2007
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,RUPIAH,2007
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,RUPIAH,2007
27,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2007
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,1425425534779,RUPIAH,2008
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,275255000000,RUPIAH,2008
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12769040274,RUPIAH,2008
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,375089516700,RUPIAH,2008
32,32,JAWA BARAT,3205,KABUPATEN GARUT,0,RUPIAH,2008
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,750000000,RUPIAH,2008
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3000000000,RUPIAH,2008
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,RUPIAH,2008
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,13000000000,RUPIAH,2008
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,RUPIAH,2008
